,model_id,uffid,node_nums,x,y,z,thx,thy,thz,disp_cs,def_cs,color,clr_r,clr_g,clr_b,clr_a,r,phi,cyl_thz,lcs_x1,lcs_x2,lcs_x3,lcs_y1,lcs_y2,lcs_y3,lcs_z1,lcs_z2,lcs_z3
0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1,0.0,,2.0,3.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2,0.0,,3.0,6.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,1.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
3,0.0,,4.0,0.0,12.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,1.0,12.0,1.5707963267948966,-1.5707963267948966,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
4,0.0,,5.0,3.5,12.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,1.0,12.5,1.2870022175865685,-1.2870022175865685,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
5,0.0,,6.0,7.0,12.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,1.0,13.892443989449804,1.042721878368537,-1.042721878368537,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
6,0.0,,7.0,0.0,24.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,1.0,24.0,1.5707963267948966,-1.5707963267948966,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
7,0.0,,8.0,4.0,24.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,1.0,24.331050121192877,1.4056476493802699,-1.4056476493802699,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
8,0.0,,9.0,8.0,24.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,1.0,25.298221281347036,1.2490457723982544,-1.2490457723982544,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
9,0.0,,10.0,0.0,36.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,1.0,36.0,1.5707963267948966,-1.5707963267948966,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
10,0.0,,11.0,4.5,36.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,1.0,36.28015986734347,1.4464413322481358,-1.4464413322481358,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
11,0.0,,12.0,9.0,36.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,1.0,37.107950630558946,1.3258176636680323,-1.3258176636680323,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
12,0.0,,13.0,0.0,48.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,1.0,48.0,1.5707963267948966,-1.5707963267948966,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
13,0.0,,14.0,5.0,48.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,1.0,48.25971404805462,1.4670039863378537,-1.4670039863378537,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
14,0.0,,15.0,10.0,48.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,1.0,49.03060268852505,1.3654009376051295,-1.3654009376051295,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
15,0.0,,16.0,0.0,60.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,1.0,60.0,1.5707963267948966,-1.5707963267948966,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
16,0.0,,17.0,5.5,60.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,1.0,60.25155599650519,1.4793851249346144,-1.4793851249346144,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
17,0.0,,18.0,11.0,60.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,1.0,61.0,1.3894765523934063,-1.3894765523934063,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
18,0.0,,19.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
19,0.0,,20.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
20,0.0,,21.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
21,0.0,,22.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
22,0.0,,23.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
23,0.0,,24.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
24,0.0,,25.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
25,0.0,,26.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
26,0.0,,27.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
27,0.0,,28.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
28,0.0,,29.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
29,0.0,,30.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
30,0.0,,31.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
31,0.0,,32.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
32,0.0,,33.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
33,0.0,,34.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
34,0.0,,35.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
35,0.0,,36.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
36,0.0,,37.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
37,0.0,,38.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
38,0.0,,39.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
39,0.0,,40.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
40,0.0,,41.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
41,0.0,,42.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
42,0.0,,43.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
43,0.0,,44.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
44,0.0,,45.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
45,0.0,,46.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
46,0.0,,47.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
47,0.0,,48.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
48,0.0,,49.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
49,0.0,,50.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
50,0.0,,51.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
51,0.0,,52.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
52,0.0,,53.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
53,0.0,,54.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
54,0.0,,55.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
55,0.0,,56.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
56,0.0,,57.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
57,0.0,,58.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
58,0.0,,59.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
59,0.0,,60.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
60,0.0,,61.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
61,0.0,,62.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
62,0.0,,63.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
63,0.0,,64.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
64,0.0,,65.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
65,0.0,,66.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
66,0.0,,67.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
67,0.0,,68.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
68,0.0,,69.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
69,0.0,,70.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
70,0.0,,71.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
71,0.0,,72.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
72,0.0,,73.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
73,0.0,,74.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
74,0.0,,75.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
75,0.0,,76.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
76,0.0,,77.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
77,0.0,,78.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
78,0.0,,79.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
79,0.0,,80.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
80,0.0,,81.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
81,0.0,,82.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
82,0.0,,83.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
83,0.0,,84.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
84,0.0,,85.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
85,0.0,,86.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
86,0.0,,87.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
87,0.0,,88.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
88,0.0,,89.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
89,0.0,,90.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
90,0.0,,91.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
91,0.0,,92.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
92,0.0,,93.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
93,0.0,,94.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
94,0.0,,95.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
95,0.0,,96.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
96,0.0,,97.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
97,0.0,,98.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
98,0.0,,99.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
99,0.0,,100.0,,,,,,,,,,0.0,1.0,0.0,1.0,,,,,,,,,,,,
